房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
5栋商业249,51.38,33438.84,42.33,40587.00,1718087.00,在售,商业
5栋商业248,61.69,33429.67,50.82,40580.00,2062276.00,在售,商业
5栋商业247,70.35,26395.23,57.96,32037.00,1856904.00,在售,商业
5栋商业246,39.09,26390.72,32.20,32037.00,1031613.00,在售,商业
5栋商业245,24.32,36475.83,20.04,44266.00,887092.00,在售,商业
5栋商业244,43.58,36456.61,35.90,44255.00,1588779.00,在售,商业
5栋商业243,24.32,36475.83,20.04,44266.00,887092.00,在售,商业
5栋商业242,133.20,26389.58,109.73,32034.00,3515092.00,在售,商业
5栋商业241,145.87,34435.15,120.17,41799.00,5023055.00,在售,商业
5栋商业1100,50.82,77923.34,42.33,93552.00,3960064.00,在售,商业
5栋商业1099,61.02,73904.04,50.82,88737.00,4509624.00,在售,商业
5栋商业1098,74.50,52772.36,62.05,63360.00,3931540.00,在售,商业
5栋商业1097,38.67,42732.93,32.20,51319.00,1652482.00,在售,商业
5栋商业1096,24.06,100000.00,20.04,120059.88,2406000.00,在售,商业
5栋商业1095,43.10,82968.52,35.90,99608.00,3575943.00,在售,商业
5栋商业1094,24.06,100000.00,20.04,120059.88,2406000.00,在售,商业
5栋商业1093,132.11,52699.15,110.03,63274.00,6962084.00,在售,商业
5栋商业1092,144.39,58809.88,120.26,70609.00,8491558.00,在售,商业
5栋商业1091,81.44,65857.56,67.83,79071.00,5363439.00,在售,商业
5栋商业1090,92.94,64849.32,77.40,77869.00,6027095.00,在售,商业
5栋商业1088,91.13,77927.08,75.90,93563.00,7101494.00,在售,商业
5栋商业1087,45.35,73904.19,37.77,88735.00,3351555.00,在售,商业
5栋商业1086,47.07,73910.39,39.20,88749.00,3478962.00,在售,商业
5栋商业1085,43.85,73895.38,36.52,88727.00,3240312.00,在售,商业
5栋商业1084,71.91,67868.66,59.89,81489.00,4880435.00,在售,商业
5栋商业1083,109.43,60820.36,91.14,73025.00,6655571.00,在售,商业
5栋5006,126.43,43732.56,98.29,56253.00,5529108.00,在售,住宅
5栋5005,89.50,40950.00,69.58,52673.54,3665025.00,在售,住宅
5栋5004,89.50,41584.74,69.58,53490.01,3721835.00,在售,住宅
5栋5003,126.43,42744.45,98.29,54982.00,5404181.00,在售,住宅
5栋5002,89.50,42724.11,69.58,54955.56,3823808.00,在售,住宅
5栋5001,89.50,41938.11,69.58,53944.53,3753461.00,在售,住宅
5栋4906,126.43,43932.56,98.29,56510.26,5554394.00,在售,住宅
5栋4905,89.50,41150.00,69.58,52930.79,3682925.00,在售,住宅
5栋4904,89.50,41784.74,69.58,53747.26,3739735.00,在售,住宅
