房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
B座3202,266.92,145330.28,182.00,213140.43,38791559.07,在售,住宅
B座3102,175.47,79330.28,115.69,120322.28,13920084.71,在售,住宅
B座3002,175.47,78930.28,115.69,119715.59,13849896.71,在售,住宅
B座2902,175.47,78030.28,115.69,118350.53,13691973.71,在售,住宅
B座2802,175.47,88750.02,115.69,134609.44,15572966.71,在售,住宅
B座2702,175.47,76230.28,115.69,115620.43,13376127.71,在售,住宅
B座2602,175.47,75830.28,115.69,115013.74,13305939.71,在售,住宅
B座2502,175.47,75430.28,115.69,114407.05,13235751.71,在售,住宅
B座2402,175.47,75030.28,115.69,113800.36,13165563.71,在售,住宅
B座2302,175.47,74630.28,115.69,113193.67,13095375.71,在售,住宅
B座2202,175.47,74230.28,115.69,112586.97,13025187.71,在售,住宅
B座2102,175.47,73830.28,115.69,111980.28,12954999.71,在售,住宅
B座2002,175.47,73430.28,115.69,111373.59,12884811.71,在售,住宅
B座1902,175.47,73030.28,115.69,110766.90,12814623.71,在售,住宅
B座1802,175.47,72630.28,115.69,110160.21,12744435.71,在售,住宅
B座1702,175.47,72230.28,115.69,109553.52,12674247.71,在售,住宅
B座1602,175.47,71830.28,115.69,108946.83,12604059.71,在售,住宅
B座1502,175.47,71430.28,115.69,108340.14,12533871.71,在售,住宅
B座1402,175.47,71030.28,115.69,107733.45,12463683.71,在售,住宅
B座1302,175.47,70630.28,115.69,107126.76,12393495.71,在售,住宅
B座1202,175.47,70230.28,115.69,106520.07,12323307.71,在售,住宅
B座1102,175.47,69830.28,115.69,105913.38,12253119.71,在售,住宅
B座1002,175.47,69430.28,115.69,105306.69,12182931.71,在售,住宅
B座902,175.47,69030.28,115.69,104700.00,12112743.71,在售,住宅
B座802,175.47,68630.28,115.69,104093.31,12042555.71,在售,住宅
