房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
1栋D座37E,177.76,75276.00,136.12,98303.00,13381062.00,在售,住宅
1栋D座37D,104.17,69868.00,79.77,91239.00,7278150.00,在售,住宅
1栋D座37C,104.17,70995.00,79.77,92711.00,7395549.00,在售,住宅
1栋D座37B,176.65,78436.00,135.26,102438.00,13855719.00,在售,住宅
1栋D座37A,176.65,77140.00,135.26,100745.00,13626781.00,在售,住宅
1栋D座36E,112.40,72776.00,86.07,95039.00,8180022.00,在售,住宅
1栋D座36D,104.17,69868.00,79.77,91239.00,7278150.00,在售,住宅
1栋D座36C,104.17,70995.00,79.77,92711.00,7395549.00,在售,住宅
1栋D座36B,112.25,74936.00,85.95,97866.00,8411566.00,在售,住宅
1栋D座36A,112.25,73340.00,85.95,95781.00,8232415.00,在售,住宅
1栋D座35E,112.40,72776.00,86.07,95039.00,8180022.00,在售,住宅
1栋D座35D,104.17,69868.00,79.77,91239.00,7278150.00,在售,住宅
1栋D座35C,104.17,70995.00,79.77,92711.00,7395549.00,在售,住宅
1栋D座35B,112.25,74936.00,85.95,97866.00,8411566.00,在售,住宅
1栋D座35A,112.25,73340.00,85.95,95781.00,8232415.00,在售,住宅
1栋D座34E,112.40,72776.00,86.07,95039.00,8180022.00,在售,住宅
1栋D座34D,104.17,69868.00,79.77,91239.00,7278150.00,在售,住宅
1栋D座34C,104.17,70995.00,79.77,92711.00,7395549.00,在售,住宅
1栋D座34B,112.25,74936.00,85.95,97866.00,8411566.00,在售,住宅
1栋D座34A,112.25,73340.00,85.95,95781.00,8232415.00,在售,住宅
1栋D座33E,112.40,72776.00,86.07,95039.00,8180022.00,在售,住宅
1栋D座33D,104.17,69868.00,79.77,91239.00,7278150.00,在售,住宅
1栋D座33C,104.17,70995.00,79.77,92711.00,7395549.00,在售,住宅
1栋D座33B,112.25,74936.00,85.95,97866.00,8411566.00,在售,住宅
1栋D座33A,112.25,73340.00,85.95,95781.00,8232415.00,在售,住宅
1栋D座32E,112.40,72776.00,86.07,95039.00,8180022.00,在售,住宅
1栋D座32D,104.17,69868.00,79.77,91239.00,7278150.00,在售,住宅
1栋D座32C,104.17,70995.00,79.77,92711.00,7395549.00,在售,住宅
1栋D座32B,112.25,74936.00,85.95,97866.00,8411566.00,在售,住宅
1栋D座32A,112.25,73340.00,85.95,95781.00,8232415.00,在售,住宅
1栋D座30E,112.40,72476.00,86.07,94647.00,8146302.00,在售,住宅
1栋D座30D,104.17,69568.00,79.77,90847.00,7246899.00,在售,住宅
1栋D座30C,104.17,70695.00,79.77,92319.00,7364298.00,在售,住宅
1栋D座30B,112.25,74336.00,85.95,97082.00,8344216.00,在售,住宅
1栋D座30A,112.25,73040.00,85.95,95390.00,8198740.00,在售,住宅
1栋D座29E,112.40,72176.00,86.07,94256.00,8112582.00,在售,住宅
1栋D座29D,104.17,69268.00,79.77,90456.00,7215648.00,在售,住宅
1栋D座29C,104.17,70395.00,79.77,91927.00,7333047.00,在售,住宅
1栋D座29B,112.25,74036.00,85.95,96690.00,8310541.00,在售,住宅
1栋D座29A,112.25,72740.00,85.95,94998.00,8165065.00,在售,住宅
1栋D座28E,112.40,71876.00,86.07,93864.00,8078862.00,在售,住宅
1栋D座28D,104.17,68968.00,79.77,90064.00,7184397.00,在售,住宅
1栋D座28C,104.17,70095.00,79.77,91536.00,7301796.00,在售,住宅
1栋D座28B,112.25,73736.00,85.95,96299.00,8276866.00,在售,住宅
1栋D座28A,112.25,72440.00,85.95,94606.00,8131390.00,在售,住宅
1栋D座27E,112.40,71576.00,86.07,93472.00,8045142.00,在售,住宅
1栋D座27D,104.17,68668.00,79.77,89672.00,7153146.00,在售,住宅
1栋D座27C,104.17,69795.00,79.77,91144.00,7270545.00,在售,住宅
1栋D座27B,112.25,73436.00,85.95,95907.00,8243191.00,在售,住宅
1栋D座27A,112.25,72140.00,85.95,94214.00,8097715.00,在售,住宅
1栋D座26E,112.40,71276.00,86.07,93080.00,8011422.00,在售,住宅
1栋D座26D,104.17,68368.00,79.77,89280.00,7121895.00,在售,住宅
1栋D座26C,104.17,69495.00,79.77,90752.00,7239294.00,在售,住宅
1栋D座26B,112.25,73136.00,85.95,95515.00,8209516.00,在售,住宅
1栋D座26A,112.25,71840.00,85.95,93822.00,8064040.00,在售,住宅
