房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
5栋3302,139.95,52000.00,108.76,66912.46,7277400.00,在售,住宅
5栋3301,173.31,52000.00,134.69,66910.08,9012120.00,在售,住宅
5栋3204,143.05,41531.00,109.87,54073.08,5941009.55,在售,住宅
5栋3203,89.37,36510.00,69.87,46699.56,3262898.70,在售,住宅
5栋3202,89.43,35510.00,69.92,45418.46,3175659.30,在售,住宅
5栋3201,142.87,39531.00,109.87,51404.33,5647793.97,在售,住宅
5栋3104,143.05,41471.00,109.87,53994.96,5932426.55,在售,住宅
5栋3103,89.37,36480.00,69.87,46661.19,3260217.60,在售,住宅
5栋3102,89.43,35480.00,69.92,45380.09,3172976.40,在售,住宅
5栋3101,142.87,39471.00,109.87,51326.31,5639221.77,在售,住宅
5栋3004,143.05,41421.00,109.87,53929.86,5925274.05,在售,住宅
5栋3003,89.37,36475.00,69.87,46654.79,3259770.75,在售,住宅
5栋3002,89.43,35475.00,69.92,45373.70,3172529.25,在售,住宅
5栋3001,142.87,39421.00,109.87,51261.29,5632078.27,在售,住宅
5栋2904,143.05,41401.00,109.87,53903.82,5922413.05,在售,住宅
5栋2903,89.37,36470.00,69.87,46648.40,3259323.90,在售,住宅
5栋2902,89.43,35470.00,69.92,45367.30,3172082.10,在售,住宅
5栋2901,142.87,39401.00,109.87,51235.28,5629220.87,在售,住宅
5栋2804,143.05,41341.00,109.87,53825.70,5913830.05,在售,住宅
5栋2803,89.37,36440.00,69.87,46610.03,3256642.80,在售,住宅
5栋2802,89.43,35440.00,69.92,45328.93,3169399.20,在售,住宅
5栋2801,142.87,39341.00,109.87,51157.26,5620648.67,在售,住宅
5栋2704,143.05,41231.00,109.87,53682.48,5898094.55,在售,住宅
5栋2703,89.37,36360.00,69.87,46507.70,3249493.20,在售,住宅
5栋2702,89.43,35360.00,69.92,45226.61,3162244.80,在售,住宅
5栋2701,142.87,39231.00,109.87,51014.22,5604932.97,在售,住宅
5栋2604,143.05,41171.00,109.87,53604.36,5889511.55,在售,住宅
5栋2603,89.37,36330.00,69.87,46469.33,3246812.10,在售,住宅
5栋2602,89.43,35330.00,69.92,45188.24,3159561.90,在售,住宅
5栋2601,142.87,39171.00,109.87,50936.20,5596360.77,在售,住宅
5栋2504,143.05,41111.00,109.87,53526.24,5880928.55,在售,住宅
5栋2503,89.37,36300.00,69.87,46430.95,3244131.00,在售,住宅
5栋2502,89.43,35300.00,69.92,45149.87,3156879.00,在售,住宅
5栋2501,142.87,39111.00,109.87,50858.18,5587788.57,在售,住宅
5栋2404,143.05,40951.00,109.87,53317.92,5858040.55,在售,住宅
5栋2403,89.37,36170.00,69.87,46264.67,3232512.90,在售,住宅
5栋2402,89.43,35170.00,69.92,44983.59,3145253.10,在售,住宅
5栋2401,142.87,38951.00,109.87,50650.12,5564929.37,在售,住宅
5栋2304,143.05,40991.00,109.87,53370.00,5863762.55,在售,住宅
5栋2303,89.37,36240.00,69.87,46354.21,3238768.80,在售,住宅
5栋2302,89.43,35240.00,69.92,45073.12,3151513.20,在售,住宅
5栋2301,142.87,38991.00,109.87,50702.14,5570644.17,在售,住宅
5栋2204,143.05,40931.00,109.87,53291.88,5855179.55,在售,住宅
5栋2203,89.37,36210.00,69.87,46315.83,3236087.70,在售,住宅
5栋2202,89.43,35210.00,69.92,45034.75,3148830.30,在售,住宅
5栋2201,142.87,38931.00,109.87,50624.11,5562071.97,在售,住宅
5栋2104,143.05,40871.00,109.87,53213.76,5846596.55,在售,住宅
5栋2103,89.37,36180.00,69.87,46277.46,3233406.60,在售,住宅
5栋2102,89.43,35180.00,69.92,44996.38,3146147.40,在售,住宅
5栋2101,142.87,38871.00,109.87,50546.09,5553499.77,在售,住宅
5栋2004,143.05,40851.00,109.87,53187.72,5843735.55,在售,住宅
5栋2003,89.37,36178.00,69.87,46274.90,3233227.86,在售,住宅
5栋2002,89.43,35178.00,69.92,44993.82,3145968.54,在售,住宅
5栋2001,142.87,38851.00,109.87,50520.09,5550642.37,在售,住宅
5栋1904,143.05,40761.00,109.87,53070.54,5830861.05,在售,住宅
5栋1903,89.37,36138.00,69.87,46223.74,3229653.06,在售,住宅
5栋1902,89.43,35138.00,69.92,44942.66,3142391.34,在售,住宅
5栋1901,142.87,38761.00,109.87,50403.05,5537784.07,在售,住宅
5栋1804,143.05,40571.00,109.87,52823.16,5803681.55,在售,住宅
5栋1803,89.37,35998.00,69.87,46044.67,3217141.26,在售,住宅
5栋1802,89.43,34998.00,69.92,44763.60,3129871.14,在售,住宅
5栋1801,142.87,38571.00,109.87,50155.99,5510638.77,在售,住宅
5栋1704,143.05,40581.00,109.87,52836.18,5805112.05,在售,住宅
5栋1703,89.37,36058.00,69.87,46121.41,3222503.46,在售,住宅
5栋1702,89.43,35058.00,69.92,44840.34,3135236.94,在售,住宅
