房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
1320,90.51,43930.21,67.92,58541.00,3976123.00,在售,商务公寓
1319,36.25,44934.46,27.20,59885.00,1628874.00,在售,商务公寓
1318,93.02,45113.01,69.80,60120.00,4196412.00,在售,商务公寓
1317,36.25,44934.46,27.20,59885.00,1628874.00,在售,商务公寓
1316,66.64,43600.58,50.01,58099.00,2905542.00,在售,商务公寓
1315,63.47,43259.10,47.63,57645.00,2745655.00,在售,商务公寓
1314,36.25,44366.82,27.20,59128.00,1608297.00,在售,商务公寓
1313,36.25,44641.70,27.20,59494.00,1618261.00,在售,商务公寓
1312,48.21,46291.19,36.18,61683.00,2231698.00,在售,商务公寓
1311,36.25,44555.89,27.20,59380.00,1615151.00,在售,商务公寓
1310,48.21,46291.19,36.18,61683.00,2231698.00,在售,商务公寓
1309,36.25,44957.55,27.20,59915.00,1629711.00,在售,商务公寓
1308,48.21,46291.19,36.18,61683.00,2231698.00,在售,商务公寓
1307,36.25,44957.55,27.20,59915.00,1629711.00,在售,商务公寓
1306,48.21,46291.19,36.18,61683.00,2231698.00,在售,商务公寓
1305,36.25,44555.89,27.20,59380.00,1615151.00,在售,商务公寓
1304,35.18,44938.12,26.40,59883.00,1580923.00,在售,商务公寓
1303,48.21,46291.19,36.18,61683.00,2231698.00,在售,商务公寓
1302,31.25,38553.82,23.45,51377.69,1204807.00,在售,商务公寓
1301,35.18,45915.89,26.40,61186.00,1615321.00,在售,商务公寓
1220,90.51,43930.21,67.92,58541.00,3976123.00,在售,商务公寓
1219,36.25,44934.46,27.20,59885.00,1628874.00,在售,商务公寓
1218,93.02,45113.01,69.80,60120.00,4196412.00,在售,商务公寓
1217,36.25,44934.46,27.20,59885.00,1628874.00,在售,商务公寓
1216,66.64,43991.42,50.01,58620.00,2931588.00,在售,商务公寓
1215,63.47,43648.49,47.63,58164.00,2770369.00,在售,商务公寓
1214,36.25,44766.87,27.20,59661.00,1622799.00,在售,商务公寓
1213,36.25,37770.96,27.20,50338.14,1369197.59,在售,商务公寓
1212,48.21,46291.19,36.18,61683.00,2231698.00,在售,商务公寓
1211,36.25,37770.96,27.20,50338.14,1369197.59,在售,商务公寓
1210,48.21,46291.19,36.18,61683.00,2231698.00,在售,商务公寓
1209,36.25,37844.32,27.20,50435.91,1371856.89,在售,商务公寓
1208,48.21,46291.19,36.18,61683.00,2231698.00,在售,商务公寓
1207,36.25,37917.68,27.20,50533.68,1374516.19,在售,商务公寓
1206,48.21,46291.19,36.18,61683.00,2231698.00,在售,商务公寓
1205,36.25,44957.55,27.20,59915.00,1629711.00,在售,商务公寓
1204,35.18,44938.12,26.40,59883.00,1580923.00,在售,商务公寓
1203,48.21,46291.19,36.18,61683.00,2231698.00,在售,商务公寓
1202,31.25,38868.22,23.45,51796.67,1214632.00,在售,商务公寓
1201,35.18,45915.89,26.40,61186.00,1615321.00,在售,商务公寓
1120,90.51,43746.62,67.92,58296.00,3959506.00,在售,商务公寓
1119,36.25,44760.72,27.20,59653.00,1622576.00,在售,商务公寓
1118,93.02,44868.19,69.80,59794.00,4173639.00,在售,商务公寓
1117,36.25,44760.72,27.20,59653.00,1622576.00,在售,商务公寓
1116,66.64,42832.22,50.01,57075.00,2854339.00,在售,商务公寓
1115,63.47,43414.91,47.63,57853.00,2755544.00,在售,商务公寓
1114,36.25,44193.05,27.20,58896.00,1601998.00,在售,商务公寓
1111,36.25,37666.16,27.20,50198.47,1365398.59,在售,商务公寓
1110,48.21,46059.56,36.18,61374.00,2220531.00,在售,商务公寓
1109,36.25,44382.16,27.20,59149.00,1608853.00,在售,商务公寓
1108,48.21,46059.56,36.18,61374.00,2220531.00,在售,商务公寓
1107,36.25,37812.88,27.20,50394.01,1370717.19,在售,商务公寓
1106,48.21,46059.56,36.18,61374.00,2220531.00,在售,商务公寓
1105,36.25,38031.92,27.20,50685.92,1378657.10,在售,商务公寓
1104,35.18,44764.36,26.40,59651.00,1574810.00,在售,商务公寓
1103,48.21,46059.56,36.18,61374.00,2220531.00,在售,商务公寓
1102,31.25,46364.07,23.45,61785.00,1448877.00,在售,商务公寓
1101,35.18,38397.67,26.40,51167.80,1350830.10,在售,商务公寓
1020,90.51,43563.00,67.92,58051.00,3942887.00,在售,商务公寓
1019,36.25,37268.97,27.20,49669.13,1351000.38,在售,商务公寓
