房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
3栋A2座47,45.60,151666.66,44.03,157074.72,6916000.00,在售,商业
3栋A2座46,79.49,151666.67,76.75,157081.22,12055984.00,在售,商业
3栋A2座45,88.13,151666.67,85.09,157085.25,13366384.00,在售,商业
3栋A2座43,104.13,151666.66,100.55,157066.63,15793050.00,在售,商业
3栋A2座42,133.76,151666.67,129.15,157080.40,20286934.00,在售,商业
3栋A1座41,132.30,151666.66,127.92,156859.75,20065500.00,在售,商业
3栋A1座40,131.94,151666.66,127.57,156862.11,20010900.00,在售,商业
3栋A1座39,69.46,151666.67,67.16,156860.73,10534767.00,在售,商业
3栋A1座38,147.00,152500.00,142.14,157714.22,22417500.00,在售,商业
3栋A1座37,111.59,150000.00,107.90,155129.74,16738500.00,在售,商业
3栋A1座36,121.03,150000.00,117.03,155126.89,18154500.00,在售,商业
3栋A1座35,86.63,150000.00,83.76,155139.68,12994500.00,在售,商业
3栋A1座33,70.87,150000.00,68.53,155121.84,10630500.00,在售,商业
3栋A1座32,102.60,150000.00,99.20,155141.12,15390000.00,在售,商业
1栋D座31,105.73,151666.66,102.17,156951.32,16035717.00,在售,商业
1栋D座30,79.63,151666.67,76.95,156948.88,12077217.00,在售,商业
1栋D座29,118.83,151666.66,114.83,156949.83,18022550.00,在售,商业
1栋D座28,87.79,151666.67,84.84,156940.32,13314817.00,在售,商业
1栋D座27,85.85,151666.67,82.96,156950.14,13020584.00,在售,商业
1栋D座26,121.54,151666.66,117.45,156948.20,18433567.00,在售,商业
1栋C座25,256.08,126326.92,117.45,275434.65,32349800.00,在售,商业
1栋C座23,341.60,130642.07,184.09,242421.28,44627334.00,在售,商业
1栋C座22,356.65,123086.82,142.09,308951.48,43898917.00,在售,商业
1栋C座21,327.83,128552.78,148.68,283450.76,42143459.00,在售,商业
1栋C座20,346.37,133171.56,170.75,270141.34,46126634.00,在售,商业
1栋C座19,377.16,127977.51,167.03,288978.02,48268000.00,在售,商业
1栋C座18,352.37,128645.19,160.42,282575.17,45330709.00,在售,商业
1栋C座17,346.15,128079.71,153.95,287981.76,44334792.00,在售,商业
1栋C座16,284.28,128422.68,128.25,284662.76,36508000.00,在售,商业
1栋B座15,54.11,154166.67,52.48,158955.01,8341959.00,在售,商业
1栋B座13,106.28,154166.67,103.08,158952.59,16384834.00,在售,商业
1栋B座12,117.59,154166.67,114.05,158951.85,18128459.00,在售,商业
1栋B座11,103.93,154166.66,100.80,158953.78,16022542.00,在售,商业
1栋B座10,132.93,154166.66,128.93,158949.62,20493375.00,在售,商业
1栋B座09,176.71,154166.66,171.39,158952.05,27242792.00,在售,商业
